               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.033367,             0.01461,           0.0072754,             0.99444,             0.98617,             0.99141,             0.77146,            0.028434,           0.0092895,           0.0060143,           0.0086852,           0.0086852,           0.0086852
                  36,            0.034158,            0.014589,           0.0074163,             0.98705,             0.98775,             0.99341,              0.7373,            0.029686,           0.0098274,           0.0058361,           0.0086465,           0.0086465,           0.0086465
                  37,            0.033688,            0.014903,           0.0074693,             0.98431,             0.98713,             0.99323,              0.8013,            0.027301,           0.0092822,           0.0057137,           0.0086078,           0.0086078,           0.0086078
                  38,            0.032136,            0.013939,           0.0070457,             0.99191,             0.98883,             0.99274,             0.79642,            0.028453,           0.0093689,           0.0057941,           0.0085691,           0.0085691,           0.0085691
                  39,            0.031949,            0.013933,           0.0069808,             0.99266,             0.98792,             0.99191,             0.79829,            0.027367,           0.0090578,           0.0058376,           0.0085305,           0.0085305,           0.0085305
                  40,            0.031929,              0.0147,           0.0074196,             0.99221,               0.983,              0.9912,             0.80885,            0.026586,           0.0091287,           0.0058624,           0.0084918,           0.0084918,           0.0084918
                  41,            0.032144,            0.014177,           0.0071594,             0.98674,             0.98513,              0.9922,             0.79187,            0.026923,           0.0089595,           0.0055035,           0.0084531,           0.0084531,           0.0084531
                  42,            0.032151,            0.014241,           0.0072984,             0.99572,             0.98617,             0.99175,              0.8179,            0.024739,           0.0086831,           0.0055233,           0.0084145,           0.0084145,           0.0084145
                  43,            0.031869,            0.013658,           0.0068611,             0.99587,             0.98376,             0.99266,             0.76412,            0.027553,           0.0091191,           0.0054211,           0.0083758,           0.0083758,           0.0083758
                  44,            0.032412,            0.014169,           0.0069747,             0.99372,             0.98617,              0.9912,             0.80912,            0.026692,           0.0088386,           0.0055607,           0.0083371,           0.0083371,           0.0083371
                  45,            0.032061,            0.014163,           0.0069912,             0.99364,             0.98617,             0.99196,             0.80368,            0.026249,           0.0090546,           0.0055367,           0.0082984,           0.0082984,           0.0082984
